t (s),V (mV)
0,14.4378
0.969,14.4037
1.901,14.3711
2.882,14.3337
3.883,14.2966
4.882,14.2596
5.883,14.2214
6.882,14.1856
7.882,14.1485
8.883,14.11
9.883,14.0734
10.883,14.0344
11.883,13.9946
12.882,13.9556
13.883,13.9165
14.882,13.8803
15.882,13.8395
16.883,13.7976
17.883,13.7599
18.882,13.7173
19.882,13.6765
20.882,13.635
21.883,13.591
22.882,13.5488
23.883,13.5074
24.883,13.4675
25.882,13.4255
26.883,13.3834
27.883,13.3425
28.882,13.2983
29.882,13.2558
30.883,13.2132
31.882,13.1758
32.882,13.1361
33.883,13.0992
34.883,13.0642
35.882,13.0314
36.882,12.9974
37.883,12.964
38.882,12.9294
39.883,12.8956
40.883,12.8622
41.882,12.8314
42.883,12.7999
43.883,12.7685
44.882,12.7382
45.882,12.7154
46.882,12.6887
47.883,12.6607
48.882,12.6344
49.883,12.6103
50.882,12.586
51.882,12.5616
52.883,12.5356
53.882,12.5169
54.883,12.4879
55.883,12.4627
56.882,12.4295
57.883,12.4024
58.882,12.3771
59.883,12.3478
60.883,12.3162
61.882,12.2843
62.883,12.249
63.883,12.2167
64.882,12.184
65.883,12.1519
66.883,12.1147
67.882,12.0789
68.882,12.0425
69.882,12.004
70.882,11.9685
71.882,11.9264
72.882,11.8886
73.883,11.8531
74.883,11.817
75.882,11.7805
76.882,11.7445
77.882,11.7043
78.882,11.6651
79.882,11.6295
80.883,11.5938
81.883,11.5571
82.883,11.5271
83.883,11.4939
84.883,11.4618
85.882,11.4308
86.882,11.4007
87.882,11.37
88.883,11.3377
89.882,11.3066
90.883,11.2756
91.882,11.2445
92.882,11.2136
93.883,11.1824
94.882,11.1513
95.883,11.1291
96.883,11.1001
97.882,11.0685
98.883,11.0348
99.883,11.0032
100.882,10.9739
101.883,10.9418
102.883,10.9105
103.882,10.8796
104.883,10.8489
105.883,10.817
106.882,10.7875
107.883,10.7583
108.882,10.7281
109.882,10.6943
110.883,10.6662
111.883,10.6359
112.882,10.6059
113.881,10.5762
114.882,10.5493
115.881,10.5219
116.882,10.4951
117.882,10.4688
118.881,10.4429
119.881,10.4393
120.881,10.4178
121.882,10.392
122.882,10.3623
123.881,10.3339
124.881,10.3055
125.882,10.2773
126.882,10.2535
127.881,10.2327
128.881,10.2178
129.882,10.1966
130.882,10.1752
131.881,10.1496
132.881,10.123
133.881,10.0976
134.882,10.0724
135.882,10.0457
136.881,10.0207
137.882,9.9929
138.883,9.9691
139.883,9.9435
140.883,9.917
141.882,9.8893
142.883,9.8667
143.882,9.8415
144.883,9.8155
145.882,9.7856
146.882,9.7586
147.883,9.732
148.882,9.7068
149.882,9.6761
150.882,9.6465
151.882,9.6161
152.883,9.5833
153.883,9.5521
154.883,9.5172
155.882,9.4836
156.883,9.4519
157.882,9.4216
158.882,9.3939
159.883,9.3668
160.883,9.3422
161.882,9.3152
162.882,9.2886
163.883,9.263
164.883,9.2362
165.882,9.2105
166.882,9.1838
167.882,9.1579
168.882,9.1317
169.883,9.1069
170.883,9.0832
171.883,9.0582
172.883,9.0353
173.883,9.0113
174.883,8.9876
175.883,8.9653
176.883,8.9436
177.883,8.9219
178.882,8.8999
179.882,8.878
180.882,8.8583
181.882,8.8383
182.882,8.8176
183.882,8.7978
184.882,8.7755
185.882,8.7547
186.882,8.7323
187.882,8.7094
188.883,8.6873
189.883,8.6675
190.883,8.6451
191.882,8.6242
192.883,8.6037
193.883,8.5839
194.882,8.5641
195.883,8.5436
196.882,8.5196
197.883,8.4966
198.882,8.4757
199.883,8.4549
200.882,8.4359
201.882,8.4104
202.882,8.3858
203.883,8.3619
204.882,8.3394
205.882,8.3132
206.883,8.2882
207.883,8.2645
